Date,Open,High,Low,Close
3/25/2019,118.2,119.5,118.2,118.81
3/26/2019,124,124,119,120.39
3/27/2019,120,121,119.92,120.1
3/28/2019,120.1,121.5,120.1,120.98
3/29/2019,125.5,125.5,121.07,122.06
04/01/19,122.4,123.26,121.8,122.08
04/02/19,120.3,122.7,120.3,122.53
04/03/19,122.6,123.3,122,122.15
04/04/19,122.3,122.33,121.51,121.81
04/05/19,123.5,126.5,121.5,122.5
04/08/19,122.5,122.79,121.27,121.95
04/09/19,122,122.7,121.31,122.45
04/10/19,122.4,122.67,121.53,121.66
04/11/19,124.2,124.2,121.36,121.69
04/12/19,121.9,122.5,121.6,122.41
4/15/2019,121.5,122.95,120,122.88
4/16/2019,123,124.05,122.8,123.75
4/18/2019,124,124.24,123.18,123.47
4/22/2019,123.2,123.2,121.61,121.87
4/23/2019,121.9,122.3,121.6,121.7
4/24/2019,121.8,123.19,121.18,122.94
4/25/2019,122.94,123.9,122.2,122.43
4/26/2019,122.8,123.5,122.51,123.39
4/30/2019,124.8,124.8,122.39,123.41
05/02/19,123.6,123.8,122.91,123.18
05/03/19,124.07,124.8,122.9,122.99
05/06/19,124.3,124.9,121.54,121.83
05/07/19,123,123,120.69,120.9
05/08/19,122.2,122.6,119.31,119.53
05/09/19,121.79,121.79,118.2,118.46
05/10/19,118.7,119.32,118.31,118.5
5/13/2019,119.95,119.95,117,117.22
5/14/2019,117.51,118.75,116.7,117.86
5/15/2019,117.9,118.67,117.22,117.5
5/16/2019,117.5,118.5,117.11,118.06
5/17/2019,118.15,119.7,118.1,119.63
5/20/2019,122.4,124.34,120.5,123.93
5/21/2019,124.4,124.69,122.8,123.07
5/22/2019,124.49,124.49,122.65,123.31
5/23/2019,124.8,126.3,122.11,122.6
5/24/2019,122.7,124.73,122.51,124.55
5/27/2019,124.99,125.3,124,125.03
5/28/2019,125.3,125.6,124.5,125.18
5/29/2019,124.71,125.37,124.34,124.75
5/30/2019,125.05,125.8,124.42,125.48
5/31/2019,125.5,126.48,124.74,125.25
06/03/19,126,127,124.83,126.8
06/04/19,126.8,127.9,126.2,126.59
06/06/19,126.6,126.6,124.55,124.68
06/07/19,124.77,125.19,123.57,124.89
06/10/19,125.3,125.92,124.94,125.67
06/11/19,126,126.5,125,125.62
06/12/19,126.1,126.1,124.9,125.07
6/13/2019,125.4,125.5,124.55,125.42
6/14/2019,125.03,125.25,124.31,124.52
6/17/2019,125.1,125.1,122.84,123.08
6/18/2019,123.2,123.59,122.61,123.14
6/19/2019,123.5,124.1,122.52,123.03
6/20/2019,122.97,124.65,122.5,124.49
6/21/2019,124.4,124.4,123.51,123.68
6/24/2019,125,127.49,123.05,123.41
6/25/2019,124.15,125,122.9,124.07
6/26/2019,124.82,124.82,123.58,124.65
6/27/2019,125,125.46,124.5,124.82
6/28/2019,125.6,125.6,124,124.29
07/01/19,125,125.2,124.51,124.93
07/02/19,125.6,125.6,124.2,125.3
07/03/19,125.02,125.6,125,125.48
07/04/19,126,126.17,125.1,126.04
07/05/19,126.2,126.77,124.4,124.61
07/08/19,125.5,125.5,121.58,121.94
07/09/19,123.89,123.89,121,121.8
07/10/19,122.5,122.55,121.1,121.35
07/11/19,122.3,122.3,121.51,122.2
07/12/19,122.45,122.7,121.55,121.97
7/15/2019,122.5,122.5,121.7,122.22
7/16/2019,123,123.11,121.91,122.95
7/17/2019,123.65,123.65,122.75,123.27
7/18/2019,123.2,123.35,122.32,122.56
7/19/2019,126,126,120.55,120.72
7/22/2019,122.2,122.2,119.49,119.9
7/23/2019,120.5,120.7,119.45,119.69
7/24/2019,121.89,121.89,118.74,119.14
7/25/2019,122.49,122.49,118.84,118.99
7/26/2019,119.68,119.68,118.5,119.32
7/29/2019,119.5,119.5,118,118.36
7/30/2019,118.38,119,117.1,117.25
7/31/2019,117.3,117.78,114.41,117.58
08/01/19,117.5,117.6,115.1,116.27
08/02/19,116,117.09,114.9,116.34
08/05/19,116.1,116.1,114.2,115.15
08/06/19,115,116.5,114.34,115.87
08/07/19,117.89,117.89,114.71,114.91
08/08/19,115.9,117.42,114.83,116.94
08/09/19,118,118.35,117,117.62
8/13/2019,118.2,118.3,115.5,115.76
8/14/2019,116.49,117.27,115.72,116.71
8/16/2019,117,117.68,115.75,117.01
8/19/2019,118,118.03,116.9,117.13
8/20/2019,117.4,117.4,116.3,116.71
8/21/2019,117,117.38,115.5,115.68
8/22/2019,116.3,116.3,113.65,113.87
8/23/2019,114.1,115.13,112.8,114.74
