Open,High,Low,Close,bband_lower,bband_upper,pct_b,Trade Counter,Buying Price,Units Bought,Buying Amount,Available Capital,Selling Price,Selling Amount,Profit
118.2,119.5,118.2,118.81,,,,,,,,,,,
124.0,124.0,119.0,120.39,,,,,,,,,,,
120.0,121.0,119.92,120.1,,,,,,,,,,,
120.1,121.5,120.1,120.98,,,,,,,,,,,
125.5,125.5,121.07,122.06,,,,,,,,,,,
122.4,123.26,121.8,122.08,,,,,,,,,,,
120.3,122.7,120.3,122.53,,,,,,,,,,,
122.6,123.3,122.0,122.15,,,,,,,,,,,
122.3,122.33,121.51,121.81,,,,,,,,,,,
123.5,126.5,121.5,122.5,,,,,,,,,,,
122.5,122.79,121.27,121.95,,,,,,,,,,,
122.0,122.7,121.31,122.45,,,,,,,,,,,
122.4,122.67,121.53,121.66,,,,,,,,,,,
124.2,124.2,121.36,121.69,,,,,,,,,,,
121.9,122.5,121.6,122.41,,,,,,,,,,,
121.5,122.95,120.0,122.88,,,,,,,,,,,
123.0,124.05,122.8,123.75,,,,,,,,,,,
124.0,124.24,123.18,123.47,,,,,,,,,,,
123.2,123.2,121.61,121.87,,,,,,,,,,,
121.9,122.3,121.6,121.7,119.59894570616562,124.12505429383437,0.46420766385469486,,,,,,,,
121.8,123.19,121.18,122.94,120.27252467488522,123.86447532511478,0.7426258278198503,1.0,122.94,6100.0,749934.0,66.0,,,
122.94,123.9,122.2,122.43,120.55306245544801,123.78793754455202,0.5802194807688431,,,0.0,,,122.94,749934.0,0.0
122.8,123.5,122.51,123.39,120.95198270361308,123.7180172963869,0.8814124388596446,1.0,123.39,6077.0,749841.03,158.96999999997206,,,
124.8,124.8,122.39,123.41,121.1498485947901,123.76315140520985,0.8648639553741063,,,0.0,,,124.8,758409.6,8568.569999999949
123.6,123.8,122.91,123.18,121.18162177788298,123.84337822211702,0.750774259022067,,,,,,,,
124.07,124.8,122.9,122.99,121.22715776568681,123.88884223431317,0.6623032350723931,,,,,,,,
124.3,124.9,121.54,121.83,121.15281983512727,123.89318016487272,0.24711354836158644,,,,,,,,
123.0,123.0,120.69,120.9,120.91576394692028,124.00523605307971,-0.005102472648594287,,,,,,,,
122.2,122.6,119.31,119.53,120.33394702586884,124.3590529741312,-0.19973313403486936,,,,,,,,
121.79,121.79,118.2,118.46,119.48864271943374,124.8003572805663,-0.1936554962799848,,,,,,,,
118.7,119.32,118.31,118.5,118.85485150548742,125.0891484945126,-0.056919249453803,,,,,,,,
119.95,119.95,117.0,117.22,117.95090049725339,125.4700995027466,-0.0972045688270015,,,,,,,,
117.51,118.75,116.7,117.86,117.38487569150044,125.65612430849959,0.057442875979217885,,,,,,,,
117.9,118.67,117.22,117.5,116.80371980715178,125.81828019284823,0.07723950620520768,,,,,,,,
117.5,118.5,117.11,118.06,116.39380112946753,125.79319887053245,0.17726655647872336,,,,,,,,
118.15,119.7,118.1,119.63,116.26677602776651,125.59522397223351,0.36053414161230535,,,,,,,,
122.4,124.34,120.5,123.93,116.25223765646408,125.62776234353595,0.818915484711269,1.0,123.93,6120.0,758451.6000000001,116.96999999985565,,,
124.4,124.69,122.8,123.07,116.27446337585037,125.56553662414963,0.7314049133552523,,,0.0,,,124.4,761328.0,2876.399999999907
124.49,124.49,122.65,123.31,116.2410284650068,125.7429715349932,0.7439501039868172,1.0,123.31,6174.0,761315.9400000001,129.0299999997951,,,
124.8,126.3,122.11,122.6,116.24095733305492,125.83304266694509,0.6629468406080263,,,0.0,,,124.8,770515.2,9199.259999999893
122.7,124.73,122.51,124.55,116.1364881602863,126.09851183971374,0.8445585064296153,1.0,124.55,6186.0,770466.2999999999,177.9299999998184,,,
124.99,125.3,124.0,125.03,115.99399440348337,126.5010055965166,0.8599977130040589,,,0.0,,,124.99,773188.14,2721.840000000084
125.3,125.6,124.5,125.18,115.87303537038497,126.80096462961501,0.851667723027591,,,,,,,,
124.71,125.37,124.34,124.75,115.80188987124166,127.00611012875834,0.7986374708008119,,,,,,,,
125.05,125.8,124.42,125.48,115.67421140808234,127.36378859191761,0.8388488683301076,1.0,125.48,6162.0,773207.76,158.30999999982305,,,
125.5,126.48,124.74,125.25,115.58362448951873,127.68037551048126,0.7990885729342,,,0.0,,,125.5,773331.0,123.23999999999069
126.0,127.0,124.83,126.8,115.40459331688443,128.35640668311558,0.8798309828048053,1.0,126.8,6099.0,773353.2,136.10999999986961,,,
126.8,127.9,126.2,126.59,115.37798918599111,128.9520108140089,0.8259903454748052,,,0.0,,,126.8,773353.2,0.0
126.6,126.6,124.55,124.68,115.6657088743406,129.17929112565938,0.6670541502627635,,,,,,,,
124.77,125.19,123.57,124.89,116.17168998392737,129.3163100160726,0.6632607100663207,,,,,,,,
125.3,125.92,124.94,125.67,116.72561782171023,129.47938217828977,0.7013131126007872,1.0,125.67,6154.0,773373.18,116.12999999977183,,,
126.0,126.5,125.0,125.62,117.69402227150354,129.35097772849645,0.6799354906809513,,,0.0,,,126.0,775404.0,2030.8199999999488
